user_id,role,birthdate,first_name,last_name,username,password,email,address,nomiko_fisiko
1,User,1971-10-20,Michael,Morgan,flong,$2y$10$Gf12YLgkcgNMaanscI2ekO6wYSQcwFI02S2nEhbA9Jvl/1aVPn4vG,joneszachary@example.com,"78816 Novak Turnpike Suite 022, Port Nancymouth, OK 34110",0
2,User,1979-01-19,Margaret,Cochran,dbradford,$2y$10$Gf12YLgkcgNMaanscI2ekO6wYSQcwFI02S2nEhbA9Jvl/1aVPn4vG,noahenglish@example.org,"01907 Wells Underpass Suite 376, New Markville, DC 32031",1
3,User,1958-06-15,Kayla,Thompson,dukematthew,$2y$10$Gf12YLgkcgNMaanscI2ekO6wYSQcwFI02S2nEhbA9Jvl/1aVPn4vG,kryan@example.org,"4307 Gregory Crossroad Apt. 355, Angelaburgh, CA 52644",0
4,User,1961-03-19,Lauren,Moore,bfranco,$2y$10$Gf12YLgkcgNMaanscI2ekO6wYSQcwFI02S2nEhbA9Jvl/1aVPn4vG,laurendavis@example.net,"2978 Rivera Roads, New Amandabury, MD 52790",0
5,User,1978-01-09,Maria,Krause,angelaponce,$2y$10$Gf12YLgkcgNMaanscI2ekO6wYSQcwFI02S2nEhbA9Jvl/1aVPn4vG,smithmichele@example.org,"PSC 3973, Box 3229, APO AA 58639",0
6,User,1968-11-17,Tanya,Schneider,rwong,$2y$10$Gf12YLgkcgNMaanscI2ekO6wYSQcwFI02S2nEhbA9Jvl/1aVPn4vG,cfernandez@example.net,"775 Edwin Freeway Apt. 891, Maryborough, OK 59548",0
7,User,1963-12-22,Kimberly,Garcia,justinhiggins,$2y$10$Gf12YLgkcgNMaanscI2ekO6wYSQcwFI02S2nEhbA9Jvl/1aVPn4vG,kingdorothy@example.org,"3537 Stephenson Lakes Apt. 766, Robertsmouth, SD 30644",1
8,User,1987-11-27,Angela,King,saunderstiffany,$2y$10$Gf12YLgkcgNMaanscI2ekO6wYSQcwFI02S2nEhbA9Jvl/1aVPn4vG,jenkinslori@example.com,"624 Rodriguez Mall Suite 219, South Angela, MP 01086",0
9,User,2005-04-04,Belinda,Sloan,xmorales,$2y$10$Gf12YLgkcgNMaanscI2ekO6wYSQcwFI02S2nEhbA9Jvl/1aVPn4vG,christian02@example.com,"3637 Herrera Shores Apt. 271, Michelleview, NE 79668",1
10,User,1957-04-10,Amanda,Bonilla,lindsay15,$2y$10$Gf12YLgkcgNMaanscI2ekO6wYSQcwFI02S2nEhbA9Jvl/1aVPn4vG,sdelgado@example.org,"2920 Jane Extensions, Miguelburgh, SC 69540",0
